Date,Category,Amount,Description
1/2/2026,Food,450,Grocery shopping at supermarket
1/3/2026,Transport,150,Uber ride to office
1/5/2026,Utilities,1200,Monthly electricity bill
1/6/2026,Food,320,Restaurant dinner with friends
1/8/2026,Entertainment,500,Movie tickets and snacks
1/9/2026,Shopping,2500,New running shoes
1/11/2026,Food,280,Weekly vegetables and fruits
1/13/2026,Health,800,Doctor consultation fee
1/14/2026,Transport,200,Auto rickshaw rides
1/16/2026,Utilities,600,Mobile phone recharge
1/18/2026,Food,400,Lunch at office canteen
1/19/2026,Entertainment,350,Netflix subscription
1/21/2026,Shopping,1800,Winter jacket purchase
1/22/2026,Transport,180,Metro card recharge
1/24/2026,Food,950,Birthday party dinner
1/25/2026,Utilities,1100,Water bill payment
1/27/2026,Health,500,Pharmacy medicines
1/28/2026,Food,300,Street food and snacks
1/30/2026,Transport,250,Cab to railway station
1/31/2026,Entertainment,400,Concert tickets
2/2/2026,Food,520,Monthly grocery restock
2/3/2026,Shopping,3200,New backpack and accessories
2/5/2026,Transport,170,Bus pass renewal
2/7/2026,Utilities,950,Internet bill payment
2/8/2026,Health,1500,Annual health checkup
2/10/2026,Food,380,Dinner at dhaba
2/12/2026,Entertainment,600,Amusement park entry
2/13/2026,Transport,220,Ola ride to mall
2/14/2026,Food,1200,Valentine's Day dinner
2/16/2026,Shopping,4500,New smartphone case and earphones
2/18/2026,Utilities,1100,Electricity bill payment
2/19/2026,Health,350,Eye checkup
2/21/2026,Food,290,Fruit and juice shop
2/23/2026,Transport,300,Airport drop cab
2/25/2026,Entertainment,250,Book purchase online
2/27/2026,Food,410,Pizza delivery order
2/28/2026,Shopping,1600,Clothing sale purchase
3/1/2026,Utilities,700,Gas cylinder refill
3/3/2026,Food,340,Breakfast at cafe
3/5/2026,Transport,190,Auto to market
3/7/2026,Health,900,Dentist appointment
3/8/2026,Entertainment,450,Streaming service annual plan
3/10/2026,Food,560,Weekly grocery shopping
3/12/2026,Shopping,2100,Sports equipment
3/14/2026,Transport,280,Train tickets
3/16/2026,Utilities,850,DTH recharge
3/18/2026,Food,370,Biryani takeaway
3/20/2026,Health,650,Blood test and reports
3/22/2026,Entertainment,300,Gaming subscription
3/24/2026,Food,480,Family dinner outing
